ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
16,,smoothes the pixel graphics,glättet die pixelgrafik,adoucit les graphismes#pixelisés,suaviza los gráficos#pixelados,suaviza os gráficos pixelados,сглаживание пиксельной графики,ピクセルグラフィックを滑らかにする
17,,resets controls#to default,stellt die ursprüngliche#steuerung wieder da,rétablit les commandes#par défaut,restablece los controles#por defecto,redefine os controles#para o padrão,сброс управления по умолчанию,操作設定を#元の状態にリセット
18,,sets the visibility#of the aim reticle,stellt die sichtbarkeit#der zielrichtung ein,définit la visibilité#du réticule de visée,ajusta la visibilidad#de la retícula,define a visibilidade#do retículo de mira,видимость прицела,照準方向の#見え方を調整 
19,,prevents tearing#may cause slowdown,beugt display-risse vor#kann spiel verlangsamen,évite le tearing#peut ralentir le jeu,evita artefactos#puede bajar rendimiento,evita rasgos de tela#pode causar lentidão,устраняет разрывы может снизить FPS,画像の乱れを防止#ゲームスピードが落ちる場合あり
20,,hold confirm#to erase everything,halten um den#fortschritt zurückzuseten,maintenir pour confirmer#l'effacement complet,mantén confirmar#para borrar todo,mantenha pressionado confirmar#para apagar tudo,удерживайте для полного сброса,長押しで#進行状況をリセット
21,,sets crt filter,stellt den#crt filter ein,définit le filtre ctr,ajusta el filtro crt,ajuste do filtro crt,фильтр ЭЛТ,CRTフィルター調整
22,,toggles the ui flickering,stellt das#ui-flackern ein,définit les#clignotements de l'iu,activa o desactiva el#parpadeo de la iu,ajuste da intermitência#da interface do usuário,мерцание интерфейса,UIの点滅を切り替え
23,,show player hitbox,zeigt die hitbox#des spielers,affiche la hitbox,muestra la caja de#colisión del jugador,exibe o hitbox do jogador,показывать хитбокс игрока,プレイヤーの当たり判定を表示
24,,outlines all walls,wände haben#umrisse,trace les contours#des murs,resalta todos los muros,destaca o contorno de todas as paredes,контуры стен,すべての壁の輪郭線を表示
25,,hold confirm to#restart the run,halten um#neu zu starten,maintenir confirmer#pour redémarrer la partie ,mantén confirmar para#reiniciar el intento,mantenha pressionado confirmar#para reiniciar a jogada ,удерживайте для перезапуска забега,長押しで#ゲームをリスタート
26,,bomb to scrap,bombe um zu brechen,bombe pour détruire,bomba para desechar,use a bomba para transformar em sucata,бомба в лом,ボムで破壊する
27,,enables additive blend mode#for enemy lasers,erlaubt additiven blendmodus#für feindliche laser,mode de synthèse additive#pour les lasers ennemis,modo de mezcla aditiva#para láseres enemigos,ativa o modo de mesclagem#adicional para lasers inimigos ,аддитивный режим для вражеских лазеров,敵のレーザーに#加算ブレンドモードを追加
28,,controller option#disables stick fire,kontrolleroption#schaltet auto. stickfeuern aus,option de manette#désactive le tir avec le stick,opción para mando#desactiva las palancas,opção de controle#desativa o tiro com analógico ,отключить стрельбу стиком,コントローラー設定#スティックでのショットを無効にする
29,,assist aim with a#laser pointer,zeichnet einen zielstrahl#beim zielen,aide à la visée avec#pointeur laser,puntería asistida con#puntero láser,assistência de mira com um#indicador de laser,подсветка прицела лазером,レーザーポインターで#照準アシスト
30,,enables touchscreen for#menus and aiming,erlaubt touchscreen#für menu und zielen,active l'écran tactile pour#les menus et la visée,activa la pantalla táctil#en menús y apuntado,ativa o touchscreen para#menus e mira,сенсорный экран для меню и прицела,タッチスクリーンを#メニューとエイムで有効にする
31,,controller option#disables move stick aim,kontroller option#schaltet stickbewegung aus,option de manette#désactive le stick#directionnel avec la visée,opción para mando#desactivar el apuntado#con la palanca de movimiento.,opção do controle#desativa a mira do direcional,отключить прицел стиком движения,コントローラー設定#移動スティックでのエイムを無効にする
32,,disables move stick aim,schaltet stickzielen aus,désactive le stick directionnel avec la visée,anula apunt. con palanca mov.,desativa a mira do direcional,прицел стиком движения выкл,移動スティックでのエイムを無効にする
33,,disables stick fire,schaltet auto. stickfeuern aus,désactive le stick de tir,desactiva las palancas,desativa o disparo com o botão analógico,стрельба стиком выкл,スティックでのショットを無効にする
34,,controller option#toggles vibration,kontroller option#vibration aus order an,option de manette#active/désactive la vibration,opción para mando#alterna la vibración,opção do controle#ativa/desativa a vibração,вибрация геймпада,コントローラー設定#振動の切り替え
35,,toggles vibration,vibration aus order an,active/désactive la vibration,alterna la vibración,ativa/desativa a vibração,вибрация вкл/выкл,振動の切り替え
36,,controller option#changes controller graphics,kontroller option#wechselt kontroller bild,option de manette#change l'image de la manette,opción para mando#cambia los iconos del mando,opção do controle#altera os ícones do controle,иконки кнопок геймпада,コントローラー設定#コントローラーのグラフィックを変更
37,,adjusts aim assist,schaltet zielassist.#aus and ein,active/désactive l'aide à la visée,alterna la puntería asistida,ativa/desativa a assistência de mira,помощь прицеливания,エイムアシストを切り替え
38,,controller option#adjusts aim assist,kontrolleroption#schaltet zielassist. um,option de manette#active/désactive l'aide#à la visée,opción para mando#alterna la puntería asist.,opção do controle#ativa/desativa a assistência de mira,помощь прицеливания (геймпад),コントローラー設定#エイムアシストの切り替え
39,,alters aim assist range,ändert die stärke#der zielassistänz,change la portée d'aide à la visée,ajusta el rango de asist.,altera o alcance da assistência de mira,радиус помощи прицеливания,エイムアシストの範囲を変更
40,,controller option#alters aim assist range,kontrolleroption#ändert die zielassistänz,option de manette#change la portée d'aide à la visée,opción para mando#ajusta el rango de asist.,opção do controle#altera o alcance da assistência de mira,радиус помощи (геймпад),コントローラー設定#エイムアシストの範囲を変更
41,,displays art#in the sidebars,zeigt ein hintergrund#auf den seiten,affiche un dessin#dans les barres latérales,muestra un diseño#en las barras laterales,exibe a arte#nas barras laterais,картинки на боковых панелях,両端にアートを表示
