ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
13,,a shot of unrivaled power#single use,ein unglaublich mächtiges schuss#nur ein mal nutzbar,un coup d'une force inégalée#usage unique,un disparo de potencia inigualable#un solo uso,um disparo de poder incomparável#de uso único,a shot of unrivaled power#single use,比類なき一撃#一度限り
14,,fosters capitalism#single use,fördert kapitalismus#einmalige nutzung,favorise le capitalisme#usage unique,promueve el capitalismo#un solo uso,promove o capitalismo#uso único,fosters capitalism#single use,資本主義を促進#一度限り
15,,reflect nearby bullets,reflektiert nahe geschosse,renvoie les balles à proximité,refleja las balas cercanas,reflete balas próximas,reflect nearby bullets,近くの敵弾を跳ね返す
16,,restocks shops,stockt läden nach,ravitaille les magasins,reabastece las tiendas,reabastece lojas,restocks shops,ショップの在庫を補充
17,,summon explosive runes (careful!),beschwört explosive runen (vorsicht!),invoque des runes explosives (attention !),invoca runas explosivas (¡precaución!),invoca runas explosivas (cuidado!),summon explosive runes (careful!),爆発性のルーンを召喚（取扱注意！）
18,,freeze all enemies solid,friert alle feinde ein,gèle tous les ennemis,congela a todos los enemigos,congela todos os inimigos,freeze all enemies solid,すべての敵を凍結
19,,encase yourself in stone,überzieht dich in blöcken,t'entoure de pierre,crea un parapeto de piedra,envolve você em pedra,encase yourself in stone,周囲を石でおおう
20,,fire an electrically charged shot,feuert ein elektrisches geschoss,tire un projectile électrique,dispara una bala cargada de electricidad,dispara um tiro com carga de eletricidade,fire an electrically charged shot,電撃ショットを放つ
21,,slow nearby bullets for 10 seconds,verlangsamt geschosse für 10 sekunden,ralentit les balles proches pendant 10 secondes,ralentiza las balas cercanas durante 10 s,desacelera balas próximas por 10 segundos,slow nearby bullets for 10 seconds,10秒間、近くの敵弾を遅くする
22,,activates for 10 seconds#increases your damage while active#based on total kills while active,aktiv für 10 sekunden#erhöht all schaden wenn aktiv#erhöht für jede tötung während aktiv,s'active pendant 10 secondes#augmente les dégâts quand il est actif#augmente encore plus à chaque élimination,se activa durante 10 segundos#aumenta el daño mientras está activo#aumenta aún más con cada eliminación,ativa por 10 segundos#aumenta seu dano enquanto ativado#com base no total de mortes enquanto ativado,activates for 10 seconds#increases your damage while active#based on total kills while active,10秒間発動#発動中に撃破した数が#発動中のダメージに追加
23,,invoke a random magical tome,ruft ein zufälliges buch auf,invoque un tome magique au hasard,invoca un tomo mágico al azar,invoca um tomo mágico aleatório,invoke a random magical tome,ランダムな魔導書を発動
24,,reveal the entire map,zeigt die gesamte karte,révèle toute la carte,revela todo el mapa,revela o mapa inteiro,reveal the entire map,マップにフロア全体の地形を表示
25,,an intensely powerful electrical dash,ein elektrisch geladenes tauchmanöver,une impulsion électrique intense,efectúa impulsos eléctricos muy potentes,uma aceleração elétrica intensamente poderosa,an intensely powerful electrical dash,強烈な電撃ダッシュ
26,,"for 10 seconds, take no contact damage#and deal contact damage yourself#your dash releases a burst of flames",für 10 sekunden nimm kein kontaktschaden#fügt kontaktschaden feinden zu#tauchen sprüht feuer aus,"pendant 10 s, tu ne subis aucun dégât#et tu infliges des dégâts rapprochés#ta propulsion fait des flammes",durante 10 s: inmunidad al daño por contacto#infliges daño por contacto#los impulsos emiten fogonazos,"por 10 segundos, você não sofre dano de contato#e causa dano de contato você mesmo#ao acelerar, você libera uma explosão de chamas","for 10 seconds, take no contact damage#and deal contact damage yourself#your dash releases a burst of flames",10秒の間、接触ダメージを受けず#敵に接触ダメージを与え#ダッシュ時に炎を放つ
27,,teleport to a random unvisited room,"besuche ein zufälliges, unbesuchtes raum",téléporte à une salle non visitée aléatoire,te transporta a una sala sin visitar al azar,teletransporta para uma sala aleatória não visitada,teleport to a random unvisited room,未訪問のランダムな部屋にテレポートする
28,,"conjures icicles across the room#while equipped, icicles cannot harm you",erschafft eiszäpfe im gesamten raum#du bist immun gegen eiszäpfen,conjure des stalactites dans la salle#les stalactites équipées ne te font rien,"crea témpanos de hielo a lo largo de la sala#si está equipado, los témpanos no te dañan","conjura pingentes de gelo pela sala#enquanto equipado, os pingentes de gelo não podem causar dano a você","conjures icicles across the room#while equipped, icicles cannot harm you",部屋中につららを出現させる#装備中、自分はつららのダメージを受けない
29,,a grenade that destroys foes and walls alike.,eine granate die feinde und blöcke zerstört,une grenade qui détruit les ennemis et les murs.,una granada que destruye muros y enemigos,uma granada que destrói tanto inimigos quanto paredes,a grenade that destroys foes and walls alike.,敵も壁も破壊できるグレネード。
30,,conjures a stationary thunderhead#bolts of lightning arc between them#and your ship,beschwört blitzbälle die elektrizität#zwischen sich und dich leiten,conjure un nuage d'orage stationnaire#crée des éclairs entre lui#et ton vaisseau,invoca una nube de rayos estática#crea rayos que se transmiten entre ellos#y tu nave,conjura uma trovoada imóvel#raios de relâmpago formando um arco entre ela#e sua nave,conjures a stationary thunderhead#bolts of lightning arc between them#and your ship,自機との間に稲妻を放つ、#固定されたサンダーヘッドを召喚
31,,creates a weapon#single use,erschafft eine waffe#einmalige nutzung,crée une arme#usage unique,genera un arma#un solo uso,cria uma arma#uso único,creates a weapon#single use,武器を作る#一度限り
32,,creates a cursed weapon,erschafft eine verfluchte waffe#einmalige nutzung,crée une arme maudite,genera un arma maldita,cria uma arma amaldiçoada,creates a cursed weapon,呪われた武器を作る
33,,shoot unholy fire,verbrenne alle feinde,tire du feu impie,dispara fuego profano,dispara fogo profano,shoot unholy fire,不浄な炎を放つ
34,,deadly beams from above,tödliche strahle regnen von oben,des lasers mortels d'en haut,provoca una lluvia de haces de luz letales,chuva de raios mortais,deadly beams from above,上方から破壊力の高い光線を放つ
35,,absolute destruction,absolute zerstörung,destruction absolue,destrucción total,destruição absoluta,absolute destruction,究極破壊兵器
36,,"fire a haunted bullet that goes through walls#on kill, it turns towards a nearby enemy","feuere ein geschoss, dass durch wände geht#wendet sich beim töten anderen feinden zu","tire une balle hantée qui traverse les murs#après une élimination, se tourne vers un ennemi proche","bala embrujada que atraviesa muros#si acaba con un enemigo, salta a otro cercano","dispara uma bala assombrada que atravessa paredes#ao matar, ela continua em direção a um inimigo próximo","fire a haunted bullet that goes through walls#on kill, it turns towards a nearby enemy",壁を貫通する呪いの弾丸を放つ#敵を倒すと近くの敵に向かう
37,,fire a golden bullet#enemies killed by it drop more debris,feuere eine goldene kugel#getötete feinde hinterlassen mehr schrott,tire une balle dorée#les ennemis qu'elle tue perdent plus de débris,dispara una bala de oro#otorga más restos al eliminar enemigos,dispara uma bala de ouro#inimigos mortos por ela deixam cair mais destroços,fire a golden bullet#enemies killed by it drop more debris,黄金の弾丸を放つ#それで倒された敵はデブリを多く落とす
38,,solves all problems big and small,"löst alle probleme, groß und klein","résout tous les problèmes, petits ou grands",resuelve problemillas y problemones,"resolve todos os problemas, sejam eles grandes ou pequenos",solves all problems big and small,大小すべての問題を解決
39,,launches foes and blocks alike,schleudert feinde und blöcke,projette des ennemis et des blocs,empuja tanto a enemigos como a bloques,arremessa tanto inimigos quanto blocos,launches foes and blocks alike,敵やブロックを吹き飛ばす
40,,opens most openable things,öffnet so ziemlich alles was geöffnet werden kann,ouvre le plus de choses possible,abre casi todo lo que se puede abrir,abre a maioria das coisas que podem ser abertas,opens most openable things,開けられるものを、ほぼなんでも開ける
