ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
31,,fires constantly,konstanter feuer,tire en continu,dispara de forma constante,dispara constantemente,стреляет непрерывно,途切れさせずに発射する
32,,moves with you,folgt deiner bewegung,se déplace avec toi,sigue tus movimientos,se move com você,движется с тобой,自機に合わせて移動する
33,,"+35% damage vs ghosts, purges them","+35% schaden an geister, saübert sie","+35 % de dégâts#contre les fantômes, les purge",+35% de daño contra fantasmas#y les aplica purga,+35% de dano contra#fantasmas e os expurga,"+35% урона по призракам, очищает их",ゴーストへのダメージが35%上昇し、彼らを一掃する
34,,"+35% damage vs mages, purges them","+35% schaden an magier, saübert sie","+35 % de dégâts#contre les mages, les purge",+35% de daño contra magos#y les aplica purga,+35% de dano contra#magos e os expurga,"+35% урона по магам, очищает их",メイジへのダメージが35%上昇し、彼らを一掃する
35,,"+35% damage vs constructs, purges them","+35% schaden an konstrukte, saübert sie","+35 % de dégâts#contre les constructions, les purge",+35% de daño contra constructos#y les aplica purga,+35% de dano contra#conctrutos e os expurga,"+35% урона по конструктам, очищает их",構造物へのダメージが35%上昇し、それらを一掃する
36,,"+35% damage vs machines, purges them","+35% schaden an maschinen, saübert sie","+35 % de dégâts#contre les machines, les purge",+35% de daño contra máquinas#y les aplica purga,+35% de dano contra#máquinas e as expurga,"+35% урона по машинам, очищает их",メカへのダメージが35%上昇し、それらを一掃する
37,,knockback nearby enemies when fired,stosst beim feuer feinde zuruck,repousse les ennemis proches en tirant,disparar empuja a los enemigos cercanos,afasta inimigos próximos ao disparar,отбрасывает ближних врагов при выстреле,ショット時、近くの敵をノックバック
38,,enemies release swarmers on death,feinde explodieren in schwarmer,les ennemis libèrent#des bourdrones en mourant,los enemigos lanzan zánganos al morir,inimigos liberam enxamers ao morrer,враги выпускают роевых при гибели,敵が死亡時にスウォーマーを放つ
39,,chance of firing a swarmer,chance schwarmer zu feuern,chance de tirer un bourdrone,probabilidad de disparar un zángano,chance de disparar um enxamer,шанс выпустить роевого,確率でスウォーマーを放つ
40,,drags enemies along,zerrt feinde mit,attire les ennemis,atrae a los enemigos,arrasta os inimigos junto,тащит врагов за собой,敵を引きずる
41,,hits instantly,trifft sofort,frappe instantanément,impacta al instante,acerta instantaneamente,попадает мгновенно,一瞬で着弾
42,,increased charge capacity,erhöhte kapazität,augmente la capacité de charge,capacidad de carga aumentada,maior capacidade de carga,увеличенная ёмкость заряда,チャージ上限上昇
43,,"stronger, but fires slower","stärker, aber langsamer","plus puissant, mais plus lent","más potente, pero dispara#más despacio","mais forte, mas dispara mais devagar","мощнее, но стреляет медленнее",威力は上がるが連射速度が遅くなる
44,,"+firerate on hit, reset on miss",+feuerrate solange man trifft,cadence de tir à l'impact augmentée,"más cadencia al impactar,#se reinicia al fallar","mais taxa de disparo#ao acertar, reicinia ao errar","+скорострельность при попадании, сброс при промахе",命中時に連射速度上昇、ミスするとリセット
45,,also shoots behind you,schiesst auch nach hinten,tire aussi en arrière,también disparas por la parte trasera,também dispara por trás,также стреляет назад,後方にもショットを撃つ
46,,destroys most walls,zerstört meiste wände,détruit la plupart des murs,destruye la mayoría de los muros,destrói a maioria das paredes,разрушает большинство стен,ほとんどの壁を破壊
47,,goes through all enemies,durchbohrt alle feinde,traverse tous les ennemis,atraviesa a todos los enemigos,atravessa todos os inimigos,пробивает всех врагов,すべての敵を貫通
48,,divine empowerment,mit macht gesegnet,pouvoir divin,fortalecimiento divino,empoderamento divino,божественное усиление,聖なる力を得る
49,,hunt marked enemies for buffs,die jagd beginnt,avantages en chassant#les ennemis marqués,ventajas al cazar a enemigos marcados,persegue os inimigos marcados,охоться на помеченных врагов ради бонусов,マークされた敵を倒すとバフ獲得
50,,loses ammo over time,vierliert ammo über zeit,perd des munitions avec le temps,pierde munición con el tiempo,perde munição com o tempo,теряет боезапас со временем,時間経過で弾薬を失う
51,,gains ammo on kill,zerstöre feinde für ammo,gagne des munitions#en éliminant des ennemis,obtiene munición al eliminar enemigos,ganha munição ao matar,боезапас за убийство,敵を倒すと弾薬を回復
52,,cannot stop firing,unaufhaltsam,impossible d'arrêter de tirer,no puede dejar de disparar,não pode parar de disparar,нельзя остановить стрельбу,ショットが止まらなくなる
53,,invulnerable while firing,unverwundbar,invulnérable en tirant,invulnerable mientras dispara,fica invulnerável ao disparar,неуязвим во время стрельбы,ショット中、無敵になる
54,,splash damage hits entire room,trifft alles,dégâts collatéraux dans la salle,el daño se propaga por toda la sala,dano se espalha pela sala inteira,взрыв накрывает всю комнату,部屋全体にスプラッシュダメージ
55,,damage increases on bounce,extra schaden beim abprallen,les dégâts augmentent au rebond,el daño aumenta con los rebotes,o dano aumenta ao ricochetear,урон растёт при рикошете,跳ね返った時にダメージが上昇
56,,reacts violently when split,reagiert kritisch wenn geteilt,réaction violente à la division,reacción violenta al dividirse,reação violenta ao se dividir,бурно реагирует при разделении,分裂時に激しい反応を起こす
57,,adhesive bombs,klebrige bomben,bombes adhésives,bombas adhesivas,bombas que grudam,липкие бомбы,粘着性のある爆弾
58,,final shot activates bombs,bomben durch letzten schuss aktiviert,le dernier tir active les bombes,el último disparo activa bombas,tiro final ativa bombas,последний выстрел активирует бомбы,最後の一発で爆弾が発動する
59,,increased melee damage while dashing,extra schaden nach tauchen,la propulsion augmente#les dégâts rapprochés,los impulsos infligen daño#cuerpo a cuerpo adicional,aumento do dano corpo#a corpo enquanto acelera,повышенный урон в ближнем бою во время рывка,ダッシュ中の近接ダメージ上昇
60,,pins enemies to walls on impact,der feind wird festgenagelt,épingle les ennemis#aux murs à l'impact,inmoviliza a los enemigos#contra los muros al impactar,fixa os inimigos nas#paredes com o impacto,пригвождает врагов к стенам при попадании,衝撃で敵を壁に固定する
61,,???,???,???,???,???,???,???
62,,uncover new rooms,kann neue räume aufdecken,révèle des salles,revela salas nuevas,revela novas salas,открывает новые комнаты,新しい部屋を見つける
63,,rapidly unloads entire clip,entlädt das gesamte magazin,vide rapidement le chargeur entier,vacía el cargador rápidamente,descarrega rapidamente#o carregador inteiro,быстро опустошает весь магазин,クリップ全体を素早く排出する
64,,all damage taken is increased,du nimmst mehr schaden zu,augmente les dégâts subis,aumenta todo el daño recibido,aumenta todo o dano recebido,весь получаемый урон увеличен,すべての被ダメージが上昇
65,,all healing reduced to 1 hp part,heilung reduziert zu 1 hp teil,soins réduits de 1 fragment de pv,la curación se limita a 1 porción de ps,reduz toda a cura para 1 pedaço de pv,всё лечение снижено до 1 ОЗ,すべてのHP回復量が1に減少
66,,dash is weaker and recharges slower,tauchen ist langsam und lädt länger nach,propulsion plus#faible et recharge moins vite,el impulso es más débil y se#recarga más despacio,a aceleração é mais fraca#e recarrega mais devagar,рывок слабее и перезаряжается медленнее,ダッシュが短くなり、間隔が遅くなる。
67,,aim restricted to 8 directions,kann nur in 8 richtungen zielen,visée restreinte à 8 directions,apuntado limitado a solo 8 direcciones,mira restrita a 8 direções,прицел ограничен 8 направлениями,照準が8方向に制限される
68,,touching walls hurts,bleib fern von den wänden,toucher les murs inflige des dégâts,los muros infligen daño,tocar nas paredes causa dano,касание стен причиняет урон,壁に触れ続けるとダメージ
69,,you feel watched,du wirst beobachtet,tu te sens observé,sientes que te vigilan,você sente que há#alguém te observando,ощущение слежки,監視されている気がする
70,,turns into a random curse on pick-up,zufälliger fluch,devient un sort aléatoire à la collecte,maldición al azar al obtener,se transforma em uma#maldição aleatória,при подборе превращается в случайное проклятие,拾うとランダムな呪いに変化
71,,shoot weakspots for double damage,triff zenter der masse für extra schaden,vise les points faibles#pour doubler les dégâts,dispara a los puntos débiles#para infligir daño doble,dispare nos pontos fracos para causar dano duplo,стреляй в слабые места — двойной урон,弱点に命中させるとダメージが2倍になる
72,,your bullets bleed enemies,deine schüsse bluten feinde aus,tes balles provoque le saignement,tus balas causan hemorragias,suas balas causam#sangramento no inimigo,твои пули вызывают кровотечение,敵に当たると出血させる
73,,you gain an enchanted staff,ein magisches stab folgt dir,tu obtiens un sceptre magique,obtienes un bastón encantado,você ganha um cajado encantado,получаешь зачарованный посох,エンチャント・スタッフを得る
74,,entropic energies infuse your runes,deine runen werden entropisch,les énergies entropiques infusent tes runes,la entropía alimenta tus runas,energias entrópicas#alimentam suas runas,энтропийные силы питают твои руны,エントロピーのエネルギーがルーンに宿る
75,,releases a cloud of toxic swarmers,setzt eine wolke toxischer schwärmer frei,libère un essaim de bourdrones toxiques,lanza una nube de zánganos tóxicos,libera uma nuvem de#enxamers tóxicos,выпускает облако токсичных роевых,毒スウォーマーの群れを放つ
76,,"cannot aim, 4-way fire","kann nicht zielen, feuert in 4-richtungen","impossible de viser, tire dans les 4 sens","no puedes apuntar,#disparo en cuatro direcciones","não pode mirar,#dispara em 4 direções","нет прицела, огонь в 4 стороны",狙いをつけられない4方向ショット
77,,violent rain crashes down from above,es regnet gewaltig von oben,une pluie torrentielle s'abat,provoca una lluvia violenta,faz uma chuva violenta cair,сверху обрушивается яростный ливень,上空から激しい雨が降り注ぐ
78,,"failed, but may help you yet","versagt, aber kann dir noch helfen","a échoué, mais peut t'aider","fracasó, pero puede ayudarte","fracassado, mas pode te ajudar","провалился, но ещё может помочь",失敗したが、まだ役に立つかもしれない
79,,gain up to 2x damage while not firing,schaden steigt bis zur 2x#wenn du nicht feuerst,obtiens jusqu'au double#des dégâts sans tirer,otorga hasta el doble de daño#mientras no disparas,ganhe até 2x mais dano#enquanto não estiver disparando,до 2x урона пока не стреляешь,ショットを撃たない間、最大2倍までダメージが上昇
80,,enemies erase nearby bullets on death,feinde löschen nahe geschosse beim tod,les ennemis effacent#les balles proches en mourant,los enemigos eliminan#las balas cercanas al morir,inimigos eliminam balas#próximas ao morrer,враги стирают ближние пули при гибели,敵を倒すと近くの弾を消す
81,,deals increased damage at fuller ammo,mehr schaden wenn ammo voller ist,augmente les dégâts#infligés avec munitions pleines,inflige más daño#con la munición llena,causa mais dano quando#a munição está cheia,урон растёт при полном боезапасе,弾薬が満タンに近いほどダメージが増加する
82,,increased fire rate while not moving,feuert schneller wenn#du dich nicht bewegst,augmente la cadence de tir sans bouger,cadencia de tiro#aumentada en parado,aumento da taxa de#disparo quando estiver parado,скорострельность выше без движения,移動していないと連射速度が上がる
83,,"fires faster, smaller, weaker blasts","feuert kleinere,#schwächere schüsse schneller","tire plus vite, coups plus faibles","tiros rápidos, balas pequeñas#y explosiones débiles","dispara rajadas mais rápidas,#menores e mais fracas","быстрые, мелкие, слабые взрывы",小型で弱い爆風を素早く発射
84,,fires projectiles in a burst,feuert eine kaskade von geschossen,tire des projectiles en rafales,dispara una cascada de proyectiles,dispara projéteis em rajada,стреляет снарядами очередью,バースト射撃
85,,stuck spears are launched on death,speere in den feinden#gehen weiter beim tod,projète les lances plantées en mourant,las lanzas clavadas#salen disparadas al morir,atira as lanças presas ao morrer,застрявшие копья вылетают при гибели врага,敵が死亡時に刺さっていたスピアを発射する
86,,instantly kills lesser enemies,tötet geringere feinde sofort,élimine instantanément#les ennemis plus faibles,mata al instante a los enemigos#más débiles,mata instantaneamente#inimigos menores,мгновенно убивает слабых врагов,弱い敵を一撃で倒す
87,,launches walls at high speeds,blöcke werden zum bewegen gebracht,projette les murs à grande vitesse,lanza muros a gran velocidad,lança paredes em alta velocidade,запускает стены на высокой скорости,壁を高速で発射する
88,,travels along walls,geht an den wänden entlang,se déplace le long des murs,recorre los muros,viaja pelas paredes,скользит вдоль стен,壁に沿って移動する
89,,killing strong enemies summons wiseguys,beschwört besserwisser beim fall starker gegner,éliminer des ennemis#forts invoque des mafiosos,invoca mafiosos al matar#a enemigos fuertes,matar inimigos fortes convoca sábios,убийство сильных врагов призывает мудрецов,強敵を倒すとワイズガイを呼び出す
90,,increased damage when touching a wall,mehr schaden beim wandanfassen,dégâts augmentés en touchant un mur,daño adicional al tocar un muro,dano aumentado ao#tocar uma parede,повышенный урон при касании стены,壁に触れるとダメージ上昇
91,,increased damage per unique keyword,mehr schaden für jedes schlüsselwort,dégâts augmentés par mot-clé unique,daño adicional por cada palabra clave,dano aumentado por#palavra-chave única,урон растёт за каждое уникальное ключевое слово,キーワードが付くごとにダメージ上昇
92,,every 7th shot is a critical hit,jeder 7te schuss ist kritisch,chaque 7e coup est critique,impacto crítico cada siete disparos,cada sétimo tiro é um acerto crítico,каждый 7-й выстрел — крит,7発ごとにクリティカルヒット
93,,spawn a temporary thunderhead on kill,beim töten wird kurzzeitig ein kugelblitz erschafft,génère un nuage d'orage#temporaire à l'élimination,crea una nube rayo temporal al matar,gera uma nuvem de#trovoadas temporária ao matar,убийство создаёт временную грозовую тучу,敵を倒した時にサンダーヘッドを生成
94,,bonus melee sword slash on a cooldown,ein extra schwerthieb mit etwas abklingzeit,coup d'épée bonus pendant la recharge,espadazo adicional#con tiempo de recarga,golpe de espada bônus#com um tempo de recarga,бонусный удар мечом на перезарядке,クールダウン中に追加で近接ソード攻撃
95,,chance to fire an additional homing shot,chance ein zielsuchendes schuss abzufeuern,chance de tir guidé bonus,probabilidad de disparar#una bala guiada adicional,chance de disparar#um tiro teleguiado adicional,шанс выпустить дополнительный самонаводящийся снаряд,確率でホーミングショットが追加
96,,releases a burst of bullets on crit,bei kritischen treffern werden viele kugeln entfesselt,les dégâts critiques provoquent#une rafale de balles,los impactos críticos#lanzan una ráfaga de balas,causar um acerto crítico#libera uma rajada de balas,крит выпускает шквал пуль,クリティカル時に多くの銃弾を放つ
97,,gain a razor,erhalte eine klinge,octroie un rasoir,otorga una cuchilla,concede uma navalha,получаешь бритву,サイクロンを追加
98,,gain two orbital runes,erhalte zwei runen,octroie deux runes orbitales,otorga dos runas que orbitan a tu alrededor,concede duas runas#que orbitam ao redor,получаешь две орбитальные руны,周囲を回るルーンを2つ追加
99,,may reverse in time on hitting a wall,kugel kann beim wandtreffer in zeit zurück resien,peut revenir dans le passé en attaquant un mur,puede regresar en el tiempo al golpear un muro,a bala pode voltar no tempo#ao acertar uma parede,может откатиться во времени при ударе о стену,壁に当たると時間が巻き戻ることがある
100,,the walls assist you,die wände helfen mit,les murs t'assistent,los muros te ayudan,as paredes te ajudam,стены помогают тебе,壁が援護する
101,,multiplier changes are doubled#multiplier partially affects damage,multiplier änderungen verdoppelt#multiplier beeinflüsst schaden,changements de multiplicateur doublés#le multiplicateur affecte en partie les dégâts,el multiplicador cambia el doble de rápido#el multiplicador afecta al daño parcialmente,as mudanças no multiplicador são duplicadas#o multiplicador afeta parcialmente o dano,изменения множителя удваиваются#множитель частично влияет на урон,倍率の上昇量が2倍になる#倍率の一部がダメージに影響する
102,,fill it with power,fülle es mit macht,à remplir de pouvoir,llénalo de poder,encha-o de poder,наполни его силой,それを力で満たす
103,,absorb bullets while recently hurt#to fire your weapon instantly,absorbiert grüne kugeln wenn getroffen#um sofort zu feuern,absorbe les balles de dégâts subis #pour les renvoyer avec ton arme,absorbe balas nada más#recibir daño para disparar al instante,absorve balas ao ser atingido#para disparar sua arma instantaneamente,поглощай пули сразу после урона#чтобы мгновенно выстрелить,ダメージを受けている間、敵弾を吸収し#即座にショットを撃つ
104,,chance to fire a big shot,chance einen großen schuss abzufeuern,chance de coup plus puissant,probabilidad de disparo potente,chance de disparar um tiro potente,шанс выпустить мощный снаряд,確率で高威力ショット
105,,attack with a ring of blades on crit,bei kritischen treffern greifst du mit einen klingenring an,les dégâts critiques créent un cercle de lames,los impactos críticos#crean un anillo de espadas,causar um acerto crítico libera#um ataque com um anel de lâminas,крит атакует кольцом клинков,クリティカル時、リング状の刃で攻撃する
106,,beware that which gazes from without,fürchte was von außen starrt,méfie-toi de ce qui scrute du dehors,cuidado con lo que observa desde el afuera,cuidado com aquilo que te observa de longe,"бойся того, что смотрит снаружи",外からの視線に注意
107,,it watches over you,es wacht über dich,il veille sur toi,supervisa tus movimientos,vigia seus movimentos,оно следит за тобой,それは監視する
108,,regain ammo when bombing,stelle beim bomben ammo wieder her,recharge les munitions en utilisant des bombes,recarga munición al usar bombas,recupera munição ao jogar bombas,боезапас при использовании бомбы,ボム使用時に弾薬が回復
109,,gain a ring of fast spinning razors,erhalte ein ring schnell drehender klingen,octroie un cercle de rasoirs tournants,obtén un anillo de cuchillas giratorias,concede um círculo de#lâminas giratórias rápidas,получаешь кольцо быстро вращающихся бритв,高速回転するサイクロンを追加
110,,fire many more bullets#at a slower rate,feuere viel mehr schüsse#aber langsamer,tire plus de balles#à une cadence plus lente,dispara muchas más balas con menor cadencia,dispare muito mais balas#em um ritmo mais lento,гораздо больше пуль#но медленнее,連射速度が下がり#より多くの弾を発射
111,,"while firing, charge a powerful laser#it fires when you stop",lade beim feuern ein laser auf#es feuert wenn du aufhörst,charge un puissant laser en tirant#il s'active en arrêtant de tirer,"mientras disparas, carga un láser#que se activa al dejar de hacerlo","enquanto dispara, carregue um laser poderoso#que dispara quando você para de atirar",во время стрельбы заряжается мощный лазер#выстреливает когда прекращаешь,ショット中に強力なレーザーを溜め#ショットを終えると発射する
112,,walls fire lasers#after you dash into them,stürze dich auf die wände#um sie laser feuern zu lassen,les murs tirent des lasers#après avoir foncé dessus,los muros disparan láseres#al impulsarte contra ellos,paredes disparam lasers#depois que acelera contra elas,стены стреляют лазерами#после рывка в них,壁にダッシュで突っ込むと壁がレーザーを発射する
113,,catching green bullets redirects them,fange grüne kugeln um sie umzuleiten,attrapper des balles vertes les redirige,atrapa las balas verdes y las redirige,pegue as balas verdes para redirecioná-las,поймай зелёные пули чтобы перенаправить их,緑色の弾丸をキャッチして投げ返す
114,,conjure ghostly slashes on kill,beim töten werden geisterhafte schwerthiebe beschwört,conjure des lacérations spectrales à l'élimination,invoca tajos fantasmales al matar,conjurar golpes de espada#fantasmagóricos ao matar,убийство призывает призрачные удары,敵を倒したとき、妖気のような斬撃を放つ
115,,"while you fire, a scythe chases enemies",beim feuern verfolgt eine sense deine feinde,"pendant le tir, une faux chasse les ennemis","al disparar, una guadaña persigue a los enemigos","enquanto dispara, uma foice#persegue os inimigos",во время стрельбы коса преследует врагов,ショット中に、大鎌が敵を追う
116,,stop firing to recall embedded spikes,beim feuerstopp werden alle stacheln zurückgerufen,arrêter de tirer rappelle les piques plantées,recupera los pinchos al dejar de disparar,recupera espinhos#quando você para de atirar,прекрати стрелять чтобы вернуть вонзённые шипы,ショットを止めると、スパイクを呼び戻す
117,,bullets fuse to grow stronger,schüsse schmelzen zusammen,balles renforcées par fusion,las balas se fusionan para aumentar de tamaño,balas se fundem para#ficarem mais fortes,пули сливаются и становятся сильнее,弾丸が融合して強化される
