ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
25,,find a new weapon#at the start of each floor,starte jedes level mit einer waffe,nouvelle arme au#début de chaque étage,encuentra un arma nueva#al inicio de cada piso,encontre uma nova arma#no início de cada andar,find a new weapon#at the start of each floor,各フロアを開始時に#新しい武器を見つける
26,,increased multiplier gain,extra multiplier,augmente les multiplicateurs,el multiplicador aumenta más rápido,o multiplicador aumenta mais rápido,increased multiplier gain,倍率の上昇が速くなる
27,,damage is dealt to hp segments before hp,schaden wird zuerst hp-teilen entzogen,les dégâts réduisent les fragments#de pv avant les pv,el daño reduce las porciones de ps#antes que los ps,o dano é causado primeiro aos segmentos de pv antes do pv,damage is dealt to hp segments before hp,HPの前に、ハートゲージがダメージを受ける
28,,"hack shops, troves, and terminals","kann laden, waffenkammern und upgrade-terminale hacken","pirate magasins, arsenaux et terminaux","hackea tiendas, arsenales y terminales","hackeia lojas, arsenais e terminais","hack shops, troves, and terminals",ショップ、武器庫、およびターミナルをハックできる
29,,"on taking a hit, sometimes drop a heart","wenn getroffen, kann hp fallen lassen",les dégâts reçus peuvent#te faire perdre un cœur,"al recibir daño, puedes soltar un corazón","ao ser atingido, pode deixar cair um coração","on taking a hit, sometimes drop a heart",攻撃を受けると時々ハートを落とす
30,,your basic weapon has piercing,basiswaffe bohrt durch feinde,ton arme de base est perforante,tu arma básica adquiere penetración,sua arma básica ganha perfuração,your basic weapon has piercing,基本武器が敵を貫通する
31,,"on dash, fire a shot at nearest enemy",feuert beim tauchen,tu tires sur l'ennemi le plus#proche en te propulsant,los impulsos disparan al enemigo más cercano,"ao acelerar, dispara no inimigo mais próximo","on dash, fire a shot at nearest enemy",ダッシュ時、一番近くの敵にショットを撃つ
32,,"when hit, reflect nearby projectiles","wenn getroffen, reflektiere geschossen in der nähe","à l'impact, renvoie les projectiles proches","al recibir daño, reflejas#los proyectiles cercanos","quando atingido, reflete projéteis próximos","when hit, reflect nearby projectiles",被弾時に、近くの敵弾を跳ね返す
33,,your chaos weapons have 3 keywords,deine chaos-waffe hat 3 schlüsselworte,tes armes du chaos ont 3 mots-clés,tus armas del caos contienen 3 palabras clave,suas armas do caos têm 3 palavras-chave,your chaos weapons have 3 keywords,カオス武器が3つのキーワードを持つ
34,,"above 2.5 multiplier, deal 20% more damage","bei 2.5 multiplier, füge 20% mehr schaden",multiplicateur supérieur à 2.5x :#inflige 20 % de dégâts en plus,"con 2,5 o más de multiplicador:#+20% de daño infligido","com o multiplicador de 2,5 ou superior, causa 20% a mais de dano","above 2.5 multiplier, deal 20% more damage",倍率が2.5倍を超える時、ダメージを20%追加
35,,"above 2.5 multiplier, take no damage","bei 2.5 multiplier, nimm kein schaden",multiplicateur supérieur à 2.5x :#aucun dégât subi,"con 2,5 o más de multiplicador:#evita el daño","com o multiplicador de 2,5 ou superior, você não sofre dano","above 2.5 multiplier, take no damage",倍率が2.5倍を超える時、ダメージを無効化
36,,"above 2.5 multiplier, ammo use is halved","bei 2.5 multiplier, nur halbes ammo aufgenutzt",multiplicateur supérieur à 2.5x :#consummation de munitions réduit de moitié,"con 2,5 o más de multiplicador:#-50% de gasto de munición","com o multiplicador de 2,5 ou superior, o uso de munição é reduzido pela metade","above 2.5 multiplier, ammo use is halved",倍率が2.5倍を超える時、弾薬の消費量が半減
37,,"above 2.5 multiplier, item drops are cloned","bei 2.5 multiplier, verdoppelt belohnungen",multiplicateur supérieur à 2.5x :#clone les objets trouvés,"con 2,5 o más de multiplicador:#objetos de botín duplicados","com o multiplicador de 2,5 ou superior, itens concedidos são duplicados","above 2.5 multiplier, item drops are cloned",倍率が2.5倍を超える時、アイテムドロップが2倍
38,,your minimum multiplier is 1.5,dein minimaler multiplier ist 1.5,"ton multiplicateur minimum est 1,5","el multiplicador inicial siempre será 1,5","seu multiplicador mínimo é de 1,5",your minimum multiplier is 1.5,最低倍率が1.5倍になる
39,,regain all active charges#on entering a new floor,alle aktivladungen werden auf#der neuen etage aufgefüllt,restaure toutes les charges actives#au début d'un nouvel étage,reabastece todas las cargas activas#al inicio de cada piso,reabastece todas as cargas ativas#ao entrar em um novo andar,regain all active charges#on entering a new floor,新しいフロアに進むと#アクティブチャージが全回復
40,,gain a shield when max life increases,erhöhung von max.hp gibt schild,octroie un bouclier à l'augmentation des pv max,obtienes un escudo al aumentar tus ps máx.,ganhe um escudo quando a vida máxima aumentar,gain a shield when max life increases,最大HPが上昇するとシールドを獲得
41,,recover charge when damaged,aktivladung wenn getroffen,charge restaurée en recevant des dégâts,recuperas cargas al recibir daño,recupera carga ao sofrer dano,recover charge when damaged,被ダメージ時にチャージを回復
42,,can go into debt while shopping,kann beim shoppen schulden auftragen,dette possible dans les magasins,te permite contraer deudas al comprar,pode se endividar ao fazer compras,can go into debt while shopping,買い物中に借金できる
43,,recover hp when starting a new floor,heilt hp bei etagewechsel,restaure des pv au début d'un nouvel étage,recuperas ps al inicio de cada piso,recupera pv ao iniciar um novo andar,recover hp when starting a new floor,新しいフロアに入るとHP回復
44,,gain a powerful ally#but you gain 20% less debris,erlange einen helfer#der preis is 20% von schrott,obtient un allié puissant#mais 20 % de débris obtenus en moins,"obtienes un aliado poderoso,#pero un 20% menos de restos","ganha um aliado poderoso,#mas você ganha 20% menos destroços",gain a powerful ally#but you gain 20% less debris,強い味方が加わる#デブリの獲得量が20%減少
45,,refill all basic bombs on starting a new floor,all basisbomben beim levelwechsel aufgefüllt,remplit les bombes basiques au début d'un nouvel étage,reabastece las bombas básicas#al inicio de cada piso,recarrega todas as bombas básicas ao iniciar um novo andar,refill all basic bombs on starting a new floor,フロア開始時に通常ボムがすべて補充される
46,,basic blocks in shortcuts are now breakable,normale blöcke in abkürzungen sind brüchig,les blocs basiques des raccourcis peuvent se casser,vuelve destructibles los bloques básicos#de los atajos,agora é possível quebrar blocos básicos em atalhos,basic blocks in shortcuts are now breakable,抜け道にある通常ブロックを破壊できる
47,,next floor has an additional special room,nächster level hat ein spezialraum mehr,l'étage suivant à une salle spéciale bonus,sala especial adicional en el siguiente piso,o próximo andar ganha uma sala especial extra,next floor has an additional special room,次のフロアに特別な部屋が追加される
48,,unaware enemies take extra damage,schlafende gegner nehmen extraschaden,les ennemis inactifs subissent plus de dégâts,los enemigos desprevenidos reciben más daño,inimigos desprevenidos sofrem dano extra,unaware enemies take extra damage,活動していない敵に追加ダメージを与える
49,,all swarmers are friendly,alle schwärmer sind freundlich,tous les bourdrones sont amicaux,todos los zánganos se vuelven amistosos,todos os enxamers se tornam amigáveis,all swarmers are friendly,すべてのスウォーマーが味方になる
50,,most weapons home slightly,meiste waffen sind etwas zielsuchend,la plupart des armes sont légèrement guidées,la mayoría de las armas se guían ligeramente,a maioria das armas é ligeiramente guiada,most weapons home slightly,ほとんどの武器が少し追尾する
51,,release a burst of destructive energy#whenever you run out of ammo,schade nahe gegner#wenn deine munition ausläuft,relâche un souffle d'énergie destructrice#quans tes munitions sont épuisées,lanza una ráfaga de energía destructiva#al agotarse la munición,libera uma explosão de energia destrutiva#sempre que ficar sem munição,release a burst of destructive energy#whenever you run out of ammo,弾切れになると#破壊的エネルギーを放出
52,,destroy breakable walls on touch,brüchige blöcke werden beim anfassen zerstört,toucher des murs cassables les démolit,destruye los muros rompibles al contacto,destrói paredes quebráveis ao entrar em contato com elas,destroy breakable walls on touch,破壊可能な壁に触れるだけで壊せる
53,,gaining max hp requires only %P hp parts,nur %P hp teile nötig um maxhp zu erlangen,il ne faut que %P fragments de cœur pour obtenir des pv max,aumentar los ps máx. solo requiere#%P porciones de ps,ganhar pv máximo requer apenas %P peças de pv,gaining max hp requires only %P hp parts,最大HP上昇に必要なHPパーツが%Pつだけになる
54,,30% increased damage vs minibosses,30% mehr schaden gegen minibosse,+30 % de dégâts contre les miniboss,+30% de daño contra minijefes,dano aumenta em 30% contra minichefes,30% increased damage vs minibosses,中ボスへ与えるダメージが30%上昇
55,,immunity to explosions,immun zu explosionen,immunité contre les explosions,inmunidad a explosiones,fica imune a explosões,immunity to explosions,爆発への耐性を得る
56,,"while under 50% hp, all healing increased by 1","wenn unter 50% hp, alle heilung um 1 erhöht",soins +1 quand les pv sont inférieurs à 50 %,+1 de curación con los ps por debajo del 50%,"enquanto estiver com menos de 50% de pv, toda a cura recebida aumenta em 1","while under 50% hp, all healing increased by 1",HPが50%未満の場合、HP回復量が1上昇する
57,,douse flames while dashing,flammen werden beim tauchen erlöscht,la propulsion éteint les flammes,los impulsos apagan el fuego,apaga as chamas ao acelerar,douse flames while dashing,ダッシュ中に炎を消す
58,,clearing a room under 3 hp heals 1,raumkären mit weniger als 3 hp#stellt 1 hp wieder her,soins +1 en finissant une salle avec moins de 3pv,+1 de curación al despejar una sala#con menos de 3 ps,concluir uma sala ao estar com menos de 3 de pv cura 1,clearing a room under 3 hp heals 1,HPが3未満で部屋をクリアした時、1回復する
59,,ignore fatal damage#refreshes every 15 seconds#or on room clear,ignoriere fatalschaden#erfrischt alle 15 sekunden#und beim raumklären,ignore dégâts fatals#actualise toutes les 15 s#ou à la fin d'une salle,ignora el daño fatal#se recarga cada 15 segundos#o al despejar la sala,ignora dano fatal#atualiza a cada 15 segundos#ou ao concluir uma sala,ignore fatal damage#refreshes every 15 seconds#or on room clear,致命的なダメージを無視する#15秒ごとまたは#部屋をクリアした時に回復
60,,"gain a huge, temporary damage boost when hit","wenn getroffen, erhöht dein schaden temporär",gros bonus temporaire de dégâts si tu subis des dégâts,"al recibir daño, obtienes un gran aumento#de daño de forma temporal",o dano causado ganha enorme aumento temporário ao ser atingido,"gain a huge, temporary damage boost when hit",攻撃を受けた時、一時的に与ダメージ大幅上昇
61,,increased drop chance#for each hp lost in a room,belohnungschance erhöht sich#für jedes hp verloren im raum,chaque pv perdu dans une salle augmente la chance de trouver des objets,más probabilidad de objetos de botín#por cada ps perdido en una sala,maior chance de receber itens para cada pv perdido em uma sala,increased drop chance#for each hp lost in a room,部屋でHPを失うたびに報酬ドロップ率上昇
62,,recover ammo when losing multiplier,stelle ammo wieder her#beim verlust von multiplier,perdre un multiplicateur restaure des munitions,ganas munición si disminuye el multiplicador,recupera munição ao perder multiplicador,recover ammo when losing multiplier,倍率を失ったときに弾薬を回復
63,,"can bomb when empty, for a price","kann auch leer bomben, für einen preis",utilise une bombe en payant si tu n'en as plus,permite usar bombas pagando si están agotadas,"por um preço, permite usar bombas quando seu estoque estiver vazio","can bomb when empty, for a price",コストを支払い、空の時でもボムを撃てる
